Group,Metric,Budget,Actual,% to Goal,Match
Ticket Revenue,Comp,3000,"2,449",0.816333333,FIR0415
Ticket Revenue,Total Distributed,12068,10708,0.88730527,FIR0415
Ticket Revenue,Drop Count,"8,161","8,202",1.004999265,FIR0415
Ticket Revenue,Show Rate,0.68,0.77,1.132642055,FIR0415
Ticket Revenue,ATP,31.48,30.66,0.974140681,FIR0415
Ticket Revenue,Gross Ticket Revenue,"285,421",253234.9,0.887232895,FIR0415
Ticket Revenue,Amusement Taxes,-30581,-27132,0.887232895,FIR0415
Ticket Revenue,Park District Fee,-16322,-16404,1.004999265,FIR0415
Ticket Revenue,MLS Share of Revenue,-23852,-20970,0.879173832,FIR0415
Ticket Revenue,Net Ticket Revenue,214666,188729,0.879173832,FIR0415
Premium,Units Sold,282,143,0.507092199,FIR0415
Premium,Average Per Unit,276,255,0.926324776,FIR0415
Premium,Revenue Generated,"77,706",36501,0.469732067,FIR0415
Premium,Less Projected Expenses,-45847,-21535.59,0.469732067,FIR0415
Premium,Net Premium Revenue,31859,14965,0.469732067,FIR0415
Gross Per Cap,Merchandise Revenue,38765,41472,1.069837933,FIR0415
Gross Per Cap,Concessions Revenue,206072,193467,0.938833404,FIR0415
Gross Per Cap,Parking Revenue,91403,83715,0.915886971,FIR0415
Gross Per Cap,Total Gross Per Cap Revenue,336240,318654,0.947699046,FIR0415
Gross Per Cap,Merchandise Per Cap,4.749883596,5.056327725,1.064516135,FIR0415
Gross Per Cap,Concessions Per Cap,25.25017211,23.58778347,0.934163275,FIR0415
Gross Per Cap,Parking Per Cap,11.19972553,10.20665691,0.911330986,FIR0415
Gross Per Cap,Gross Per Cap,41.19978124,38.85076811,0.942984815,FIR0415
Net Per Cap,Merchandise Revenue,14961,16373,1.094368787,FIR0415
Net Per Cap,Concessions Revenue,38193,42956,1.124705054,FIR0415
Net Per Cap,Parking Revenue,40419,35878,0.887661328,FIR0415
Net Per Cap,Total Net Per Cap Revenue,93573,95207,1.017463976,FIR0415
Net Per Cap,Merchandise Per Cap,1.833160161,1.99617386,1.088924963,FIR0415
Net Per Cap,Concessions Per Cap,4.679885311,5.237307974,1.119110325,FIR0415
Net Per Cap,Parking Per Cap,4.952555212,4.374323336,0.883245749,FIR0415
Net Per Cap,Net Per Cap,11.46560068,11.60780517,1.012402707,FIR0415
Total,Total Net Matchday Revenue,340099,298901,0.878866975,FIR0415
Ticket Revenue,FSE,0,0,0,FR0426US
Ticket Revenue,Group,750,"1,037",1.382666667,FR0426US
Ticket Revenue,Single,750,"1,478",1.970666667,FR0426US
Ticket Revenue,Total Paid,1500,2515,1.676666667,FR0426US
Ticket Revenue,Comp,500,685,1.37,FR0426US
Ticket Revenue,Total Distributed,2000,3200,1.6,FR0426US
Ticket Revenue,Drop Count,"1,600","2,651",1.656875,FR0426US
Ticket Revenue,Show Rate,0.80,0.83,1.035546875,FR0426US
Ticket Revenue,ATP,16.80,17.81,1.059831487,FR0426US
Ticket Revenue,Gross Ticket Revenue,"25,200",44780,1.776984127,FR0426US
Ticket Revenue,Amusement Taxes,-2291,-4071,1.776984127,FR0426US
Ticket Revenue,Park District Fee,0,0,0,FR0426US
Ticket Revenue,MLS Share of Revenue,0,0,0,FR0426US
Ticket Revenue,Net Ticket Revenue,22909,40709,1.776984127,FR0426US
Premium,Units Sold,0,0,0,FR0426US
Premium,Average Per Unit,0,0,0,FR0426US
Premium,Revenue Generated,0,0,0,FR0426US
Premium,Less Projected Expenses,0,0,0,FR0426US
Premium,Net Premium Revenue,0,0,0,FR0426US
Gross Per Cap,Merchandise Revenue,5088,2055,0.403891509,FR0426US
Gross Per Cap,Concessions Revenue,0,0,0,FR0426US
Gross Per Cap,Parking Revenue,11312,24120,2.132248939,FR0426US
Gross Per Cap,Total Gross Per Cap Revenue,16400,26175,1.596036585,FR0426US
Gross Per Cap,Merchandise Per Cap,3.18,0.775179178,0.243767037,FR0426US
Gross Per Cap,Concessions Per Cap,0,0,0,FR0426US
Gross Per Cap,Parking Per Cap,7.07,9.098453414,1.28690996,FR0426US
Gross Per Cap,Gross Per Cap,10.25,9.873632591,0.963281228,FR0426US
Net Per Cap,Merchandise Revenue,3632,1722,0.474118943,FR0426US
Net Per Cap,Concessions Revenue,0,0,0,FR0426US
Net Per Cap,Parking Revenue,7776,13361,1.718235597,FR0426US
Net Per Cap,Total Net Per Cap Revenue,11408,15083,1.322142356,FR0426US
Net Per Cap,Merchandise Per Cap,2.27,0.649566201,0.286152512,FR0426US
Net Per Cap,Concessions Per Cap,0,0,0,FR0426US
Net Per Cap,Parking Per Cap,4.86,5.039984911,1.037033932,FR0426US
Net Per Cap,Net Per Cap,7.13,5.689551113,0.797973508,FR0426US
Total,Total Net Matchday Revenue,34317,55792,1.625781482,FR0426US
Ticket Revenue,FSE,"6,700","6,498",0.969850746,FIR0429
Ticket Revenue,Group,"3,227","1,159",0.359157112,FIR0429
Ticket Revenue,Single,"1,244","1,181",0.949356913,FIR0429
Ticket Revenue,Total Paid,11171,8838,0.791155671,FIR0429
Ticket Revenue,Comp,3000,"1,456",0.485333333,FIR0429
Ticket Revenue,Total Distributed,14171,10294,0.726413097,FIR0429
Ticket Revenue,Drop Count,"10,054","6,260",0.622643949,FIR0429
Ticket Revenue,Show Rate,0.71,0.61,0.857148572,FIR0429
Ticket Revenue,ATP,30.51,29.04,0.951969579,FIR0429
Ticket Revenue,Gross Ticket Revenue,"340,797",256673.35,0.753156131,FIR0429
Ticket Revenue,Amusement Taxes,-36514,-27501,0.753156131,FIR0429
Ticket Revenue,Park District Fee,-20108,-12520,0.622643949,FIR0429
Ticket Revenue,MLS Share of Revenue,-28418,-21665,0.762390971,FIR0429
Ticket Revenue,Net Ticket Revenue,255758,194987,0.762390971,FIR0429
Premium,Units Sold,282,187,0.663120567,FIR0429
Premium,Average Per Unit,276,280,1.017263342,FIR0429
Premium,Revenue Generated,"77,706",52418,0.674568244,FIR0429
Premium,Less Projected Expenses,-45847,-30926.62,0.674568244,FIR0429
Premium,Net Premium Revenue,31859,21491,0.674568244,FIR0429
Gross Per Cap,Merchandise Revenue,47757,40258,0.842990378,FIR0429
Gross Per Cap,Concessions Revenue,253871,151376,0.596270273,FIR0429
Gross Per Cap,Parking Revenue,114616,80722,0.704280744,FIR0429
Gross Per Cap,Total Gross Per Cap Revenue,416244,272356,0.654318436,FIR0429
Gross Per Cap,Merchandise Per Cap,4.750047245,6.431033546,1.353888333,FIR0429
Gross Per Cap,Concessions Per Cap,25.25104207,24.18146965,0.957642444,FIR0429
Gross Per Cap,Parking Per Cap,11.40011339,12.89481789,1.131113126,FIR0429
Gross Per Cap,Gross Per Cap,41.4012027,43.50732109,1.050870947,FIR0429
Net Per Cap,Merchandise Revenue,17199,12930,0.751802218,FIR0429
Net Per Cap,Concessions Revenue,47042,32515,0.691192311,FIR0429
Net Per Cap,Parking Revenue,49813,34585,0.694292218,FIR0429
Net Per Cap,Total Net Per Cap Revenue,114054,80030,0.701685813,FIR0429
Net Per Cap,Merchandise Per Cap,1.710641555,2.065488818,1.207435194,FIR0429
Net Per Cap,Concessions Per Cap,4.678999194,5.194121406,1.110092392,FIR0429
Net Per Cap,Parking Per Cap,4.954574354,5.524702236,1.115071011,FIR0429
Net Per Cap,Net Per Cap,11.3442151,12.78431246,1.126945526,FIR0429
Total,Total Net Matchday Revenue,401671,296509,0.738187999,FIR0429
Ticket Revenue,FSE,0,0,0,FR0509US
Ticket Revenue,Group,900,252,0.28,FR0509US
Ticket Revenue,Single,900,998,1.108888889,FR0509US
Ticket Revenue,Total Paid,1800,1250,0.694444444,FR0509US
Ticket Revenue,Comp,500,"2,468",4.936,FR0509US
Ticket Revenue,Total Distributed,2300,3718,1.616521739,FR0509US
Ticket Revenue,Drop Count,"1,840","2,379",1.292934783,FR0509US
Ticket Revenue,Show Rate,0.80,0.64,0.799825175,FR0509US
Ticket Revenue,ATP,18.00,21.80,1.211111111,FR0509US
Ticket Revenue,Gross Ticket Revenue,"32,400",27250,0.841049383,FR0509US
Ticket Revenue,Amusement Taxes,-2945,-2477,0.841049383,FR0509US
Ticket Revenue,Park District Fee,0,0,0,FR0509US
Ticket Revenue,MLS Share of Revenue,0,0,0,FR0509US
Ticket Revenue,Net Ticket Revenue,29455,24773,0.841049383,FR0509US
Premium,Units Sold,0,0,0,FR0509US
Premium,Average Per Unit,0,0,0,FR0509US
Premium,Revenue Generated,0,0,0,FR0509US
Premium,Less Projected Expenses,0,0,0,FR0509US
Premium,Net Premium Revenue,0,0,0,FR0509US
Gross Per Cap,Merchandise Revenue,5851,2130,0.364040335,FR0509US
Gross Per Cap,Concessions Revenue,0,0,0,FR0509US
Gross Per Cap,Parking Revenue,13009,20780,1.597355677,FR0509US
Gross Per Cap,Total Gross Per Cap Revenue,18860,22910,1.214740191,FR0509US
Gross Per Cap,Merchandise Per Cap,3.179891304,0.895334174,0.281561251,FR0509US
Gross Per Cap,Concessions Per Cap,0,0,0,FR0509US
Gross Per Cap,Parking Per Cap,7.070108696,8.734762505,1.235449536,FR0509US
Gross Per Cap,Gross Per Cap,10.25,9.630096679,0.939521627,FR0509US
Net Per Cap,Merchandise Revenue,4177,2064,0.494134546,FR0509US
Net Per Cap,Concessions Revenue,0,0,0,FR0509US
Net Per Cap,Parking Revenue,8942,1543,0.172556475,FR0509US
Net Per Cap,Total Net Per Cap Revenue,13119,3607,0.274944737,FR0509US
Net Per Cap,Merchandise Per Cap,2.270108696,0.867591425,0.382180565,FR0509US
Net Per Cap,Concessions Per Cap,0,0,0,FR0509US
Net Per Cap,Parking Per Cap,4.859782609,0.648591845,0.133461082,FR0509US
Net Per Cap,Net Per Cap,7.129891304,1.51618327,0.212651667,FR0509US
Total,Total Net Matchday Revenue,42574,28380,0.666604742,FR0509US
Ticket Revenue,FSE,"5,700","6,363",1.116315789,FIR0513
Ticket Revenue,Group,"7,602","2,624",0.345172323,FIR0513
Ticket Revenue,Single,"2,136","5,240",2.453183521,FIR0513
Ticket Revenue,Total Paid,15438,14227,0.921557197,FIR0513
Ticket Revenue,Comp,3000,"1,628",0.542666667,FIR0513
Ticket Revenue,Total Distributed,18438,15855,0.859908884,FIR0513
Ticket Revenue,Drop Count,"13,894","12,593",0.906349412,FIR0513
Ticket Revenue,Show Rate,0.75,0.79,1.054006336,FIR0513
Ticket Revenue,ATP,31.10,31.38,1.009167985,FIR0513
Ticket Revenue,Gross Ticket Revenue,"480,116",446510.77,0.930006019,FIR0513
Ticket Revenue,Amusement Taxes,-51441,-47840,0.930006019,FIR0513
Ticket Revenue,Park District Fee,-27788,-25186,0.906349412,FIR0513
Ticket Revenue,MLS Share of Revenue,-40089,-37348,0.931645833,FIR0513
Ticket Revenue,Net Ticket Revenue,360798,336136,0.931645833,FIR0513
Premium,Units Sold,282,279,0.989361702,FIR0513
Premium,Average Per Unit,276,246,0.892082966,FIR0513
Premium,Revenue Generated,"77,706",68582.75,0.882592721,FIR0513
Premium,Less Projected Expenses,-45847,-40463.8225,0.882592721,FIR0513
Premium,Net Premium Revenue,31859,28119,0.882592721,FIR0513
Gross Per Cap,Merchandise Revenue,65997,59629,0.903513065,FIR0513
Gross Per Cap,Concessions Revenue,350834,307661,0.876940579,FIR0513
Gross Per Cap,Parking Revenue,154223,114151,0.740163685,FIR0513
Gross Per Cap,Total Gross Per Cap Revenue,571054,481440,0.843072515,FIR0513
Gross Per Cap,Merchandise Per Cap,4.749931626,4.735067101,0.996870581,FIR0513
Gross Per Cap,Concessions Per Cap,25.25042744,24.43111252,0.967552434,FIR0513
Gross Per Cap,Parking Per Cap,11.09984022,9.064604145,0.816642759,FIR0513
Gross Per Cap,Gross Per Cap,41.10019929,38.23078377,0.930184876,FIR0513
Net Per Cap,Merchandise Revenue,20238,20046,0.990504678,FIR0513
Net Per Cap,Concessions Revenue,65088,68423,1.051237712,FIR0513
Net Per Cap,Parking Revenue,68716,48354,0.703676022,FIR0513
Net Per Cap,Total Net Per Cap Revenue,154042,136823,0.888217278,FIR0513
Net Per Cap,Merchandise Per Cap,1.456592544,1.591838323,1.092850797,FIR0513
Net Per Cap,Concessions Per Cap,4.684580257,5.433453548,1.159859208,FIR0513
Net Per Cap,Parking Per Cap,4.945633261,3.83971512,0.776384927,FIR0513
Net Per Cap,Net Per Cap,11.08680606,10.86500699,0.979994322,FIR0513
Total,Total Net Matchday Revenue,546700,501078,0.916550452,FIR0513
Ticket Revenue,FSE,"6,700","6,924",1.033432836,FIR0520
Ticket Revenue,Group,"3,084","3,308",1.072632944,FIR0520
Ticket Revenue,Single,"1,244","2,480",1.993569132,FIR0520
Ticket Revenue,Total Paid,11028,12712,1.152702213,FIR0520
Ticket Revenue,Comp,3000,"2,695",0.898333333,FIR0520
Ticket Revenue,Total Distributed,14028,15407,1.098303393,FIR0520
Ticket Revenue,Drop Count,"9,925","12,498",1.259218958,FIR0520
Ticket Revenue,Show Rate,0.71,0.81,1.146512854,FIR0520
Ticket Revenue,ATP,30.55,31.03,1.015578251,FIR0520
Ticket Revenue,Gross Ticket Revenue,"336,950",394453.65,1.170659297,FIR0520
Ticket Revenue,Amusement Taxes,-36102,-42263,1.170659297,FIR0520
Ticket Revenue,Park District Fee,-19850,-24996,1.259218958,FIR0520
Ticket Revenue,MLS Share of Revenue,-28100,-32719,1.164403217,FIR0520
Ticket Revenue,Net Ticket Revenue,252898,294475,1.164403217,FIR0520
Premium,Units Sold,282,214,0.758865248,FIR0520
Premium,Average Per Unit,276,255,0.925733372,FIR0520
Premium,Revenue Generated,"77,706",54589,0.702506885,FIR0520
Premium,Less Projected Expenses,-45847,-32207.51,0.702506885,FIR0520
Premium,Net Premium Revenue,31859,22381,0.702506885,FIR0520
Gross Per Cap,Merchandise Revenue,47144,49781,1.055935728,FIR0520
Gross Per Cap,Concessions Revenue,250614,285418,1.13887447,FIR0520
Gross Per Cap,Parking Revenue,108977,109505,1.004845999,FIR0520
Gross Per Cap,Total Gross Per Cap Revenue,406734,444703,1.093350906,FIR0520
Gross Per Cap,Merchandise Per Cap,4.749904284,3.983098896,0.838564034,FIR0520
Gross Per Cap,Concessions Per Cap,25.25028209,22.83709394,0.90442926,FIR0520
Gross Per Cap,Parking Per Cap,10.97977875,8.761769883,0.797991479,FIR0520
Gross Per Cap,Gross Per Cap,40.97996512,35.58196271,0.868277038,FIR0520
Net Per Cap,Merchandise Revenue,15182,16962,1.117295125,FIR0520
Net Per Cap,Concessions Revenue,46449,62987,1.356047252,FIR0520
Net Per Cap,Parking Revenue,49170,46020,0.935920806,FIR0520
Net Per Cap,Total Net Per Cap Revenue,110801,125969,1.136893946,FIR0520
Net Per Cap,Merchandise Per Cap,1.529608843,1.357209954,0.887292173,FIR0520
Net Per Cap,Concessions Per Cap,4.679905695,5.039769468,1.076895518,FIR0520
Net Per Cap,Parking Per Cap,4.954086265,3.682149464,0.743255016,FIR0520
Net Per Cap,Net Per Cap,11.1636008,10.07912889,0.902856441,FIR0520
Total,Total Net Matchday Revenue,395558,442826,1.119495009,FIR0520
Ticket Revenue,FSE,0,0,0,FR0606US
Ticket Revenue,Group,"2,500","1,398",0.5592,FR0606US
Ticket Revenue,Single,"2,500","3,984",1.5936,FR0606US
Ticket Revenue,Total Paid,5000,5382,1.0764,FR0606US
Ticket Revenue,Comp,2000,"1,267",0.6335,FR0606US
Ticket Revenue,Total Distributed,7000,6649,0.949857143,FR0606US
Ticket Revenue,Drop Count,"5,600","5,513",0.984464286,FR0606US
Ticket Revenue,Show Rate,0.80,0.83,1.03643405,FR0606US
Ticket Revenue,ATP,13.50,15.88,1.175936248,FR0606US
Ticket Revenue,Gross Ticket Revenue,"67,500",85440,1.265777778,FR0606US
Ticket Revenue,Amusement Taxes,-6136,-7767,1.265777778,FR0606US
Ticket Revenue,Park District Fee,0,0,0,FR0606US
Ticket Revenue,MLS Share of Revenue,0,0,0,FR0606US
Ticket Revenue,Net Ticket Revenue,61364,77673,1.265777778,FR0606US
Premium,Units Sold,0,0,0,FR0606US
Premium,Average Per Unit,0,0,0,FR0606US
Premium,Revenue Generated,0,0,0,FR0606US
Premium,Less Projected Expenses,0,0,0,FR0606US
Premium,Net Premium Revenue,0,0,0,FR0606US
Gross Per Cap,Merchandise Revenue,17808,16268,0.913522013,FR0606US
Gross Per Cap,Concessions Revenue,0,0,0,FR0606US
Gross Per Cap,Parking Revenue,39592,37950,0.958526975,FR0606US
Gross Per Cap,Total Gross Per Cap Revenue,57400,54218,0.94456446,FR0606US
Gross Per Cap,Merchandise Per Cap,3.18,2.950843461,0.927938195,FR0606US
Gross Per Cap,Concessions Per Cap,0,0,0,FR0606US
Gross Per Cap,Parking Per Cap,7.07,6.883729367,0.973653376,FR0606US
Gross Per Cap,Gross Per Cap,10.25,9.834572828,0.95947052,FR0606US
Net Per Cap,Merchandise Revenue,12712,7401,0.58220579,FR0606US
Net Per Cap,Concessions Revenue,0,0,0,FR0606US
Net Per Cap,Parking Revenue,27216,22772,0.83670341,FR0606US
