Group,Metric,Budget,Actual,% to Goal,Match
Ticket Revenue,Total Paid,9068.0,8259.0,0.910785179,FIR0415
Ticket Revenue,Comp,3000.0,2449.0,0.816333333,FIR0415
Ticket Revenue,Total Distributed,12068.0,10708.0,0.88730527,FIR0415
Ticket Revenue,Drop Count,8161.0,8202.0,1.004999265,FIR0415
Ticket Revenue,Show Rate,0.68,0.77,1.132642055,FIR0415
Ticket Revenue,ATP,31.48,30.66,0.974140681,FIR0415
Ticket Revenue,Gross Ticket Revenue,285421.0,253234.9,0.887232895,FIR0415
Ticket Revenue,Amusement Taxes,-30581.0,-27132.0,0.887232895,FIR0415
Ticket Revenue,Park District Fee,-16322.0,-16404.0,1.004999265,FIR0415
Ticket Revenue,MLS Share of Revenue,-23852.0,-20970.0,0.879173832,FIR0415
Ticket Revenue,Net Ticket Revenue,214666.0,188729.0,0.879173832,FIR0415
Premium,Units Sold,282.0,143.0,0.507092199,FIR0415
Premium,Average Per Unit,276.0,255.0,0.926324776,FIR0415
Premium,Revenue Generated,77706.0,36501.0,0.469732067,FIR0415
Premium,Less Projected Expenses,-45847.0,-21535.59,0.469732067,FIR0415
Premium,Net Premium Revenue,31859.0,14965.0,0.469732067,FIR0415
Gross Per Cap,Merchandise Revenue,38765.0,41472.0,1.069837933,FIR0415
Gross Per Cap,Concessions Revenue,206072.0,193467.0,0.938833404,FIR0415
Gross Per Cap,Parking Revenue,91403.0,83715.0,0.915886971,FIR0415
Gross Per Cap,Total Gross Per Cap Revenue,336240.0,318654.0,0.947699046,FIR0415
Gross Per Cap,Merchandise Per Cap,4.749883596,5.056327725,1.064516135,FIR0415
Gross Per Cap,Concessions Per Cap,25.25017211,23.58778347,0.934163275,FIR0415
Gross Per Cap,Parking Per Cap,11.19972553,10.20665691,0.911330986,FIR0415
Gross Per Cap,Gross Per Cap,41.19978124,38.85076811,0.942984815,FIR0415
Net Per Cap,Merchandise Revenue,14961.0,16373.0,1.094368787,FIR0415
Net Per Cap,Concessions Revenue,38193.0,42956.0,1.124705054,FIR0415
Net Per Cap,Parking Revenue,40419.0,35878.0,0.887661328,FIR0415
Net Per Cap,Total Net Per Cap Revenue,93573.0,95207.0,1.017463976,FIR0415
Net Per Cap,Merchandise Per Cap,1.833160161,1.99617386,1.088924963,FIR0415
Net Per Cap,Concessions Per Cap,4.679885311,5.237307974,1.119110325,FIR0415
Net Per Cap,Parking Per Cap,4.952555212,4.374323336,0.883245749,FIR0415
Net Per Cap,Net Per Cap,11.46560068,11.60780517,1.012402707,FIR0415
Total,Total Net Matchday Revenue,340099.0,298901.0,0.878866975,FIR0415
Ticket Revenue,FSE,0.0,0.0,0.0,FR0426US
Ticket Revenue,Group,750.0,1037.0,1.382666667,FR0426US
Ticket Revenue,Single,750.0,1478.0,1.970666667,FR0426US
Ticket Revenue,Total Paid,1500.0,2515.0,1.676666667,FR0426US
Ticket Revenue,Comp,500.0,685.0,1.37,FR0426US
Ticket Revenue,Total Distributed,2000.0,3200.0,1.6,FR0426US
Ticket Revenue,Drop Count,1600.0,2651.0,1.656875,FR0426US
Ticket Revenue,Show Rate,0.8,0.83,1.035546875,FR0426US
Ticket Revenue,ATP,16.8,17.81,1.059831487,FR0426US
Ticket Revenue,Gross Ticket Revenue,25200.0,44780.0,1.776984127,FR0426US
Ticket Revenue,Amusement Taxes,-2291.0,-4071.0,1.776984127,FR0426US
Ticket Revenue,Park District Fee,0.0,0.0,0.0,FR0426US
Ticket Revenue,MLS Share of Revenue,0.0,0.0,0.0,FR0426US
Ticket Revenue,Net Ticket Revenue,22909.0,40709.0,1.776984127,FR0426US
Premium,Units Sold,0.0,0.0,0.0,FR0426US
Premium,Average Per Unit,0.0,0.0,0.0,FR0426US
Premium,Revenue Generated,0.0,0.0,0.0,FR0426US
Premium,Less Projected Expenses,0.0,0.0,0.0,FR0426US
Premium,Net Premium Revenue,0.0,0.0,0.0,FR0426US
Gross Per Cap,Merchandise Revenue,5088.0,2055.0,0.403891509,FR0426US
Gross Per Cap,Concessions Revenue,0.0,0.0,0.0,FR0426US
Gross Per Cap,Parking Revenue,11312.0,24120.0,2.132248939,FR0426US
Gross Per Cap,Total Gross Per Cap Revenue,16400.0,26175.0,1.596036585,FR0426US
Gross Per Cap,Merchandise Per Cap,3.18,0.775179178,0.243767037,FR0426US
Gross Per Cap,Concessions Per Cap,0.0,0.0,0.0,FR0426US
Gross Per Cap,Parking Per Cap,7.07,9.098453414,1.28690996,FR0426US
Gross Per Cap,Gross Per Cap,10.25,9.873632591,0.963281228,FR0426US
Net Per Cap,Merchandise Revenue,3632.0,1722.0,0.474118943,FR0426US
Net Per Cap,Concessions Revenue,0.0,0.0,0.0,FR0426US
Net Per Cap,Parking Revenue,7776.0,13361.0,1.718235597,FR0426US
Net Per Cap,Total Net Per Cap Revenue,11408.0,15083.0,1.322142356,FR0426US
Net Per Cap,Merchandise Per Cap,2.27,0.649566201,0.286152512,FR0426US
Net Per Cap,Concessions Per Cap,0.0,0.0,0.0,FR0426US
Net Per Cap,Parking Per Cap,4.86,5.039984911,1.037033932,FR0426US
Net Per Cap,Net Per Cap,7.13,5.689551113,0.797973508,FR0426US
Total,Total Net Matchday Revenue,34317.0,55792.0,1.625781482,FR0426US
Ticket Revenue,FSE,6700.0,6498.0,0.969850746,FIR0429
Ticket Revenue,Group,3227.0,1159.0,0.359157112,FIR0429
Ticket Revenue,Single,1244.0,1181.0,0.949356913,FIR0429
Ticket Revenue,Total Paid,11171.0,8838.0,0.791155671,FIR0429
Ticket Revenue,Comp,3000.0,1456.0,0.485333333,FIR0429
Ticket Revenue,Total Distributed,14171.0,10294.0,0.726413097,FIR0429
Ticket Revenue,Drop Count,10054.0,6260.0,0.622643949,FIR0429
Ticket Revenue,Show Rate,0.71,0.61,0.857148572,FIR0429
Ticket Revenue,ATP,30.51,29.04,0.951969579,FIR0429
Ticket Revenue,Gross Ticket Revenue,340797.0,256673.35,0.753156131,FIR0429
Ticket Revenue,Amusement Taxes,-36514.0,-27501.0,0.753156131,FIR0429
Ticket Revenue,Park District Fee,-20108.0,-12520.0,0.622643949,FIR0429
Ticket Revenue,MLS Share of Revenue,-28418.0,-21665.0,0.762390971,FIR0429
Ticket Revenue,Net Ticket Revenue,255758.0,194987.0,0.762390971,FIR0429
Premium,Units Sold,282.0,187.0,0.663120567,FIR0429
Premium,Average Per Unit,276.0,280.0,1.017263342,FIR0429
Premium,Revenue Generated,77706.0,52418.0,0.674568244,FIR0429
Premium,Less Projected Expenses,-45847.0,-30926.62,0.674568244,FIR0429
Premium,Net Premium Revenue,31859.0,21491.0,0.674568244,FIR0429
Gross Per Cap,Merchandise Revenue,47757.0,40258.0,0.842990378,FIR0429
Gross Per Cap,Concessions Revenue,253871.0,151376.0,0.596270273,FIR0429
Gross Per Cap,Parking Revenue,114616.0,80722.0,0.704280744,FIR0429
Gross Per Cap,Total Gross Per Cap Revenue,416244.0,272356.0,0.654318436,FIR0429
Gross Per Cap,Merchandise Per Cap,4.750047245,6.431033546,1.353888333,FIR0429
Gross Per Cap,Concessions Per Cap,25.25104207,24.18146965,0.957642444,FIR0429
Gross Per Cap,Parking Per Cap,11.40011339,12.89481789,1.131113126,FIR0429
Gross Per Cap,Gross Per Cap,41.4012027,43.50732109,1.050870947,FIR0429
Net Per Cap,Merchandise Revenue,17199.0,12930.0,0.751802218,FIR0429
Net Per Cap,Concessions Revenue,47042.0,32515.0,0.691192311,FIR0429
Net Per Cap,Parking Revenue,49813.0,34585.0,0.694292218,FIR0429
Net Per Cap,Total Net Per Cap Revenue,114054.0,80030.0,0.701685813,FIR0429
Net Per Cap,Merchandise Per Cap,1.710641555,2.065488818,1.207435194,FIR0429
Net Per Cap,Concessions Per Cap,4.678999194,5.194121406,1.110092392,FIR0429
Net Per Cap,Parking Per Cap,4.954574354,5.524702236,1.115071011,FIR0429
Net Per Cap,Net Per Cap,11.3442151,12.78431246,1.126945526,FIR0429
Total,Total Net Matchday Revenue,401671.0,296509.0,0.738187999,FIR0429
Ticket Revenue,FSE,0.0,0.0,0.0,FR0509US
Ticket Revenue,Group,900.0,252.0,0.28,FR0509US
Ticket Revenue,Single,900.0,998.0,1.108888889,FR0509US
Ticket Revenue,Total Paid,1800.0,1250.0,0.694444444,FR0509US
Ticket Revenue,Comp,500.0,2468.0,4.936,FR0509US
Ticket Revenue,Total Distributed,2300.0,3718.0,1.616521739,FR0509US
Ticket Revenue,Drop Count,1840.0,2379.0,1.292934783,FR0509US
Ticket Revenue,Show Rate,0.8,0.64,0.799825175,FR0509US
Ticket Revenue,ATP,18.0,21.8,1.211111111,FR0509US
Ticket Revenue,Gross Ticket Revenue,32400.0,27250.0,0.841049383,FR0509US
Ticket Revenue,Amusement Taxes,-2945.0,-2477.0,0.841049383,FR0509US
Ticket Revenue,Park District Fee,0.0,0.0,0.0,FR0509US
Ticket Revenue,MLS Share of Revenue,0.0,0.0,0.0,FR0509US
Ticket Revenue,Net Ticket Revenue,29455.0,24773.0,0.841049383,FR0509US
Premium,Units Sold,0.0,0.0,0.0,FR0509US
Premium,Average Per Unit,0.0,0.0,0.0,FR0509US
Premium,Revenue Generated,0.0,0.0,0.0,FR0509US
Premium,Less Projected Expenses,0.0,0.0,0.0,FR0509US
Premium,Net Premium Revenue,0.0,0.0,0.0,FR0509US
Gross Per Cap,Merchandise Revenue,5851.0,2130.0,0.364040335,FR0509US
Gross Per Cap,Concessions Revenue,0.0,0.0,0.0,FR0509US
Gross Per Cap,Parking Revenue,13009.0,20780.0,1.597355677,FR0509US
Gross Per Cap,Total Gross Per Cap Revenue,18860.0,22910.0,1.214740191,FR0509US
Gross Per Cap,Merchandise Per Cap,3.179891304,0.895334174,0.281561251,FR0509US
Gross Per Cap,Concessions Per Cap,0.0,0.0,0.0,FR0509US
Gross Per Cap,Parking Per Cap,7.070108696,8.734762505,1.235449536,FR0509US
Gross Per Cap,Gross Per Cap,10.25,9.630096679,0.939521627,FR0509US
Net Per Cap,Merchandise Revenue,4177.0,2064.0,0.494134546,FR0509US
Net Per Cap,Concessions Revenue,0.0,0.0,0.0,FR0509US
Net Per Cap,Parking Revenue,8942.0,1543.0,0.172556475,FR0509US
Net Per Cap,Total Net Per Cap Revenue,13119.0,3607.0,0.274944737,FR0509US
Net Per Cap,Merchandise Per Cap,2.270108696,0.867591425,0.382180565,FR0509US
Net Per Cap,Concessions Per Cap,0.0,0.0,0.0,FR0509US
Net Per Cap,Parking Per Cap,4.859782609,0.648591845,0.133461082,FR0509US
Net Per Cap,Net Per Cap,7.129891304,1.51618327,0.212651667,FR0509US
Total,Total Net Matchday Revenue,42574.0,28380.0,0.666604742,FR0509US
Ticket Revenue,FSE,5700.0,6363.0,1.116315789,FIR0513
Ticket Revenue,Group,7602.0,2624.0,0.345172323,FIR0513
Ticket Revenue,Single,2136.0,5240.0,2.453183521,FIR0513
Ticket Revenue,Total Paid,15438.0,14227.0,0.921557197,FIR0513
Ticket Revenue,Comp,3000.0,1628.0,0.542666667,FIR0513
Ticket Revenue,Total Distributed,18438.0,15855.0,0.859908884,FIR0513
Ticket Revenue,Drop Count,13894.0,12593.0,0.906349412,FIR0513
Ticket Revenue,Show Rate,0.75,0.79,1.054006336,FIR0513
Ticket Revenue,ATP,31.1,31.38,1.009167985,FIR0513
Ticket Revenue,Gross Ticket Revenue,480116.0,446510.77,0.930006019,FIR0513
Ticket Revenue,Amusement Taxes,-51441.0,-47840.0,0.930006019,FIR0513
Ticket Revenue,Park District Fee,-27788.0,-25186.0,0.906349412,FIR0513
Ticket Revenue,MLS Share of Revenue,-40089.0,-37348.0,0.931645833,FIR0513
Ticket Revenue,Net Ticket Revenue,360798.0,336136.0,0.931645833,FIR0513
Premium,Units Sold,282.0,279.0,0.989361702,FIR0513
Premium,Average Per Unit,276.0,246.0,0.892082966,FIR0513
Premium,Revenue Generated,77706.0,68582.75,0.882592721,FIR0513
Premium,Less Projected Expenses,-45847.0,-40463.8225,0.882592721,FIR0513
Premium,Net Premium Revenue,31859.0,28119.0,0.882592721,FIR0513
Gross Per Cap,Merchandise Revenue,65997.0,59629.0,0.903513065,FIR0513
Gross Per Cap,Concessions Revenue,350834.0,307661.0,0.876940579,FIR0513
Gross Per Cap,Parking Revenue,154223.0,114151.0,0.740163685,FIR0513
Gross Per Cap,Total Gross Per Cap Revenue,571054.0,481440.0,0.843072515,FIR0513
Gross Per Cap,Merchandise Per Cap,4.749931626,4.735067101,0.996870581,FIR0513
Gross Per Cap,Concessions Per Cap,25.25042744,24.43111252,0.967552434,FIR0513
Gross Per Cap,Parking Per Cap,11.09984022,9.064604145,0.816642759,FIR0513
Gross Per Cap,Gross Per Cap,41.10019929,38.23078377,0.930184876,FIR0513
Net Per Cap,Merchandise Revenue,20238.0,20046.0,0.990504678,FIR0513
Net Per Cap,Concessions Revenue,65088.0,68423.0,1.051237712,FIR0513
Net Per Cap,Parking Revenue,68716.0,48354.0,0.703676022,FIR0513
Net Per Cap,Total Net Per Cap Revenue,154042.0,136823.0,0.888217278,FIR0513
Net Per Cap,Merchandise Per Cap,1.456592544,1.591838323,1.092850797,FIR0513
Net Per Cap,Concessions Per Cap,4.684580257,5.433453548,1.159859208,FIR0513
Net Per Cap,Parking Per Cap,4.945633261,3.83971512,0.776384927,FIR0513
Net Per Cap,Net Per Cap,11.08680606,10.86500699,0.979994322,FIR0513
Total,Total Net Matchday Revenue,546700.0,501078.0,0.916550452,FIR0513
Ticket Revenue,FSE,6700.0,6924.0,1.033432836,FIR0520
Ticket Revenue,Group,3084.0,3308.0,1.072632944,FIR0520
Ticket Revenue,Single,1244.0,2480.0,1.993569132,FIR0520
Ticket Revenue,Total Paid,11028.0,12712.0,1.152702213,FIR0520
Ticket Revenue,Comp,3000.0,2695.0,0.898333333,FIR0520
Ticket Revenue,Total Distributed,14028.0,15407.0,1.098303393,FIR0520
Ticket Revenue,Drop Count,9925.0,12498.0,1.259218958,FIR0520
Ticket Revenue,Show Rate,0.71,0.81,1.146512854,FIR0520
Ticket Revenue,ATP,30.55,31.03,1.015578251,FIR0520
Ticket Revenue,Gross Ticket Revenue,336950.0,394453.65,1.170659297,FIR0520
Ticket Revenue,Amusement Taxes,-36102.0,-42263.0,1.170659297,FIR0520
Ticket Revenue,Park District Fee,-19850.0,-24996.0,1.259218958,FIR0520
Ticket Revenue,MLS Share of Revenue,-28100.0,-32719.0,1.164403217,FIR0520
Ticket Revenue,Net Ticket Revenue,252898.0,294475.0,1.164403217,FIR0520
Premium,Units Sold,282.0,214.0,0.758865248,FIR0520
Premium,Average Per Unit,276.0,255.0,0.925733372,FIR0520
Premium,Revenue Generated,77706.0,54589.0,0.702506885,FIR0520
Premium,Less Projected Expenses,-45847.0,-32207.51,0.702506885,FIR0520
Premium,Net Premium Revenue,31859.0,22381.0,0.702506885,FIR0520
Gross Per Cap,Merchandise Revenue,47144.0,49781.0,1.055935728,FIR0520
Gross Per Cap,Concessions Revenue,250614.0,285418.0,1.13887447,FIR0520
Gross Per Cap,Parking Revenue,108977.0,109505.0,1.004845999,FIR0520
Gross Per Cap,Total Gross Per Cap Revenue,406734.0,444703.0,1.093350906,FIR0520
Gross Per Cap,Merchandise Per Cap,4.749904284,3.983098896,0.838564034,FIR0520
Gross Per Cap,Concessions Per Cap,25.25028209,22.83709394,0.90442926,FIR0520
Gross Per Cap,Parking Per Cap,10.97977875,8.761769883,0.797991479,FIR0520
Gross Per Cap,Gross Per Cap,40.97996512,35.58196271,0.868277038,FIR0520
Net Per Cap,Merchandise Revenue,15182.0,16962.0,1.117295125,FIR0520
Net Per Cap,Concessions Revenue,46449.0,62987.0,1.356047252,FIR0520
Net Per Cap,Parking Revenue,49170.0,46020.0,0.935920806,FIR0520
Net Per Cap,Total Net Per Cap Revenue,110801.0,125969.0,1.136893946,FIR0520
Net Per Cap,Merchandise Per Cap,1.529608843,1.357209954,0.887292173,FIR0520
Net Per Cap,Concessions Per Cap,4.679905695,5.039769468,1.076895518,FIR0520
Net Per Cap,Parking Per Cap,4.954086265,3.682149464,0.743255016,FIR0520
Net Per Cap,Net Per Cap,11.1636008,10.07912889,0.902856441,FIR0520
Total,Total Net Matchday Revenue,395558.0,442826.0,1.119495009,FIR0520
Ticket Revenue,FSE,0.0,0.0,0.0,FR0606US
Ticket Revenue,Group,2500.0,1398.0,0.5592,FR0606US
